Name,Degree,Specialization,Experience,Location,City,Recommendation,Feedback,Fees
Dr. Bandana Sodhi,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",Gynecologist/Obstetrician,31 years experience overall,"Lajpat Nagar,",Delhi,99%,123 Patient Stories,₹900
Dr. Ruchi Tandon,"MBBS, MS - Obstetrics & Gynaecology",Gynecologist/Obstetrician,17 years experience overall,"Greater Kailash Part 1,",Delhi,100%,4 Patient Stories,₹1200
Dr. Anuradha Dakour,"MBBS, DGO",Gynecologist/Obstetrician,18 years experience overall,"Lajpat Nagar,",Delhi,97%,197 Patient Stories,₹500
Dr. Mayur Dass,"MBBS, DGO, DNB - Obstetrics & Gynecology",Gynecologist/Obstetrician,19 years experience overall,"Vasundhra Enclave,",Delhi,97%,125 Patient Stories,₹600
Dr. Shalini Agarwal,"MBBS, DGO, DNB - Obstetrics & Gynecology",Gynecologist/Obstetrician,22 years experience overall,"Patparganj,",Delhi,99%,200 Patient Stories,₹1100
Dr. Sheetal Sachdeva,"MBBS, DGO, DNB - Obstetrics & Gynecology",Gynecologist/Obstetrician,21 years experience overall,"Pitampura,",Delhi,98%,228 Patient Stories,₹800
Dr. Tina Goel,"MBBS, DNB - Paediatrics",Pediatrician,21 years experience overall,"Dwarka,",Delhi,97%,101 Patient Stories,₹600
Dr. Anil Sabharwal,"MBBS, MD - Pediatrics",Pediatrician,46 years experience overall,"Ram Vihar,",Delhi,100%,9 Patient Stories,₹1000
Dr. Ajay K Tiwari,"MBBS, MD - Pediatrics",Pediatrician,35 years experience overall,"Vikas Puri,",Delhi,100%,53 Patient Stories,₹700
Dr. V. K. Gupta,"MD - Pediatrics, Diploma in Child Health (DCH), MBBS",Pediatrician,48 years experience overall,"Dwarka Sector 12,",Delhi,95%,35 Patient Stories,₹800
Dr. Radhika Sachdev,"MBBS, Diploma in Child Health (DCH)",Pediatrician,24 years experience overall,"Dwarka,",Delhi,98%,209 Patient Stories,₹600
Dr. Anjana Gulani,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics",Pediatrician,27 years experience overall,"Vasant Kunj,",Delhi,95%,23 Patient Stories,₹700
Dr. H C Bhatt,"MBBS, MD - Pediatrics",Pediatrician,26 years experience overall,"IP Extension,",Delhi,97%,113 Patient Stories,₹800
Dr. Anibha  Pandey,"MBBS, DNB - Paediatrics",Pediatrician,13 years experience overall,"Nehru Place,",Delhi,80%,4 Patient Stories,₹800
Dr. Sunil Sareen,"MBBS, DNB - Paediatrics",Pediatrician,26 years experience overall,"Karol Bagh,",Delhi,67%,2 Patient Stories,₹750
Dr. Sarita Sharma,"MBBS, MD - Pediatrics",Pediatrician,20 years experience overall,"Sarvodaya Enclave,",Delhi,97%,16 Patient Stories,₹800
Dr. Vimal Kumar Dakour,"MBBS, Diploma in Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",Orthopedist,18 years experience overall,"Lajpat Nagar,",Delhi,96%,37 Patient Stories,₹500
Dr. Madhur Mahna,"MBBS, DNB - Orthopedics/Orthopedic Surgery",Orthopedist,12 years experience overall,"Rajouri Garden,",Delhi,89%,129 Patient Stories,₹600
Dr. Parvinder Singh Arora,"DNB - Orthopedics/Orthopedic Surgery, MBBS",Orthopedist,16 years experience overall,"Dwarka Sector 19,",Delhi,100%,1 Patient Story,₹600
Dr. Om Prakash Gupta,"MS - Orthopaedics, MBBS",Orthopedist,17 years experience overall,"Dwarka Sector 19,",Delhi,73%,9 Patient Stories,₹1000
Dr. Prof. Vipul Vijay,"MBBS, MS - Orthopaedics",Orthopedist,16 years experience overall,"Mayur Vihar Ph-II,",Delhi,99%,111 Patient Stories,₹800
Dr. Neelabh,"MBBS, Diploma in Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",Orthopedist,27 years experience overall,"Pusa Road,",Delhi,100%,1 Patient Story,₹1200
Dr. Akhilesh Rathi,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",Orthopedist,16 years experience overall,"Dwarka,",Delhi,98%,213 Patient Stories,₹700
Dr. Deepak Chaudhary,"MBBS, MS - Orthopaedics",Orthopedist,39 years experience overall,"Pusa Road,",Delhi,50%,5 Patient Stories,₹1700
Dr. Praveen Tittal,"MS - Orthopaedics, MBBS",Orthopedist,22 years experience overall,"Dwarka Sector 6,",Delhi,96%,25 Patient Stories,₹700
Dr. Abhishek Kumar Mishra,"MBBS, MS - Orthopaedics",Orthopedist,25 years experience overall,"Hauz Khas,",Delhi,97%,121 Patient Stories,₹1200
Skinroots- Skin And Hair Transplant Clinic,,,,,,,,
Dr. Vijay Singhal,"MBBS, MD - Dermatology",Dermatologist,17 years experience overall,"Punjabi Bagh,",Delhi,93%,151 Patient Stories,₹800
Dr. Nipun Jain,"MD - Dermatology , Venereology & Leprosy, MBBS",Dermatologist,25 years experience overall,"Dwarka,",Delhi,98%,227 Patient Stories,₹700
Dr. Deepti  Shrivastava,"MBBS, Diploma in Dermatology",Dermatologist,27 years experience overall,"Anand Vihar,",Delhi,95%,307 Patient Stories,₹800
Dr. Richa Sharma,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,25 years experience overall,"Dwarka,",Delhi,96%,137 Patient Stories,₹1500
Dr. Shruti Gupta,"MD - Dermatology , Venereology & Leprosy, MBBS",Dermatologist,12 years experience overall,"Kamla Nagar,",Delhi,99%,1527 Patient Stories,₹1000
Dr. Urvashi Chandra,"MBBS, MD - Skin,VD & Leprosy",Dermatologist,16 years experience overall,"Pitampura,",Delhi,96%,14 Patient Stories,₹800
Dr. Manu Saxena,"MBBS, DVD",Dermatologist,34 years experience overall,"Nehru Place,",Delhi,75%,2 Patient Stories,₹1000
Dr. Anuva Bansal,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,9 years experience overall,"Pusa Road,",Delhi,100%,1 Patient Story,₹1400
Dr. Sandeep Gupta,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,18 years experience overall,"Hari Nagar,",Delhi,94%,141 Patient Stories,₹600
Dr. Mudasir Khan,"MBBS, Masters in Clinical Dermatology",Dermatologist,28 years experience overall,"Jasola,",Delhi,94%,90 Patient Stories,₹800
Dr. Payal Pal   (Physiotherapist),"MPTh/MPT - Musculoskeletal Physiotherapy, BPTh/BPT",Physiotherapist,17 years experience overall,"Dwarka,",Delhi,99%,181 Patient Stories,₹500
Dr. Lochan Arora   (Physiotherapist),"MPTh/MPT - Musculoskeletal Physiotherapy, DNHE, BPTh/BPT",Physiotherapist,13 years experience overall,"Gujranwala Town,",Delhi,96%,82 Patient Stories,₹400
Dr. Rajiv Mehta   (Physiotherapist),BPTh/BPT,Physiotherapist,23 years experience overall,"Pitampura,",Delhi,97%,201 Patient Stories,₹500
Dr. Deepti Chhabra   (Physiotherapist),BPTh/BPT,Physiotherapist,16 years experience overall,"Janakpuri,",Delhi,100%,28 Patient Stories,₹500
Dr. Deepshikha Goel   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Neurological Physiotherapy",Physiotherapist,17 years experience overall,"Anand Vihar,",Delhi,100%,26 Patient Stories,₹500
Dr. Anisha Sekhri   (Physiotherapist),BPTh/BPT,Physiotherapist,14 years experience overall,"Preet Vihar,",Delhi,97%,33 Patient Stories,₹500
Dr. Santosh Kumar   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",Physiotherapist,13 years experience overall,"Dwarka Sector 14,",Delhi,99%,76 Patient Stories,₹500
Dr. Saakshi Dhingra   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",Physiotherapist,16 years experience overall,"CR Park,",Delhi,99%,162 Patient Stories,₹700
Dr. Deepti Jain   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",Physiotherapist,17 years experience overall,"Munirka,",Delhi,98%,35 Patient Stories,₹600
Dr. Rahul Sekhri   (Physiotherapist),"BPTh/BPT, Diploma in Diet and Nutrition",Physiotherapist,13 years experience overall,"Preet Vihar,",Delhi,97%,55 Patient Stories,₹500
Dr. Kalpana Aggrawal,"MBBS, MS - Obstetrics & Gynaecology",Infertility Specialist,19 years experience overall,"Dwarka,",Delhi,91%,330 Patient Stories,₹500
Dr. Neha Khandelwal,"MBBS, MS - Obstetrics & Gynaecology",Infertility Specialist,17 years experience overall,"Greater Kailash Part 1,",Delhi,99%,450 Patient Stories,₹1200
Dr. Bandana Sodhi,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",Infertility Specialist,31 years experience overall,"Lajpat Nagar,",Delhi,99%,123 Patient Stories,₹900
Dr. Mayur Dass,"MBBS, DGO, DNB - Obstetrics & Gynecology",Infertility Specialist,19 years experience overall,"Vasundhra Enclave,",Delhi,97%,125 Patient Stories,₹600
Dr. Sheetal Sachdeva,"MBBS, DGO, DNB - Obstetrics & Gynecology",Infertility Specialist,21 years experience overall,"Pitampura,",Delhi,98%,228 Patient Stories,₹800
Dr. Jasleen Kaur Malhotra,"MBBS, DGO, DNB - Obstetrics & Gynecology",Infertility Specialist,23 years experience overall,"Dwarka,",Delhi,98%,391 Patient Stories,₹600
Dr. Neelam Walia,"MBBS, MD - Obstetrics & Gynaecology",Infertility Specialist,47 years experience overall,"Sarita Vihar,",Delhi,95%,146 Patient Stories,₹800
Dr. Yuvakshi Juneja,"MBBS, MD - Obstetrics & Gynaecology",Infertility Specialist,40 years experience overall,"Safdarjung Enclave,",Delhi,98%,71 Patient Stories,₹1000
Dr. Pooja Choudhary,"MD - Obstetrics & Gynaecology, MBBS",Infertility Specialist,22 years experience overall,"Safdarjung Enclave,",Delhi,96%,121 Patient Stories,₹900
Dr. Karishma Bhatia,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, MNAMS - Obstetrics & Gynaecology",Infertility Specialist,11 years experience overall,"Rohini,",Delhi,97%,76 Patient Stories,₹500
Dr. Rakesh Mahajan,"MBBS, DO",Ophthalmologist,36 years experience overall,"Pitampura,",Delhi,100%,1 Patient Story,₹500
Dr. Varun Gogia,"MBBS, MD - Ophthalmology",Ophthalmologist,15 years experience overall,"Lajpat Nagar 4,",Delhi,99%,446 Patient Stories,₹800
Dr. Lagan Paul Mutreja,"MBBS, MS - Ophthalmology",Ophthalmologist,12 years experience overall,"Dwarka,",Delhi,100%,,₹500
Dr. Shweta Jain,"MBBS, DNB - Ophthalmology",Ophthalmologist,10 years experience overall,"Paschim Vihar,",Delhi,97%,64 Patient Stories,₹499
Dr. Rajat Jain,"MBBS, MS - Ophthalmology",Ophthalmologist,15 years experience overall,"Delhi,",Delhi,87%,13 Patient Stories,₹599
Dr. Robin Aggarwal,"MD - Physician, DO",Ophthalmologist,12 years experience overall,"Panchsheel Park,",Delhi,100%,2 Patient Stories,₹699
Dr. Manik Mittal,"MBBS, MD - Ophthalmology",Ophthalmologist,12 years experience overall,"Paschim Vihar,",Delhi,98%,46 Patient Stories,₹699
Dr. Saurabh Singh,"MBBS, MS - Ophthalmology",Ophthalmologist,20 years experience overall,"Panchsheel Park,",Delhi,75%,3 Patient Stories,₹699
Dr. Ankush Mutreja,"MBBS, MS - Ophthalmology, DNB - Ophthalmology, FAICO (Fellow of All India Collegium of Ophthalmology)",Ophthalmologist,14 years experience overall,"Dwarka,",Delhi,92%,86 Patient Stories,₹699
Dr. Pankaj Jain,"MBBS, MS - Ophthalmology",Ophthalmologist,46 years experience overall,"Karol Bagh,",Delhi,67%,4 Patient Stories,₹1050
Dr. Parag Gupta,"MBBS, MS - General Surgery, MCh - Urology",Urologist,24 years experience overall,"Janakpuri,",Delhi,93%,286 Patient Stories,₹800
Dr. Ashish Saini,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",Urologist,19 years experience overall,"Greater Kailash Part 1,",Delhi,94%,118 Patient Stories,₹1100
Dr. Vishal Dutt Gour,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",Urologist,20 years experience overall,"Greater Kailash Part 1,",Delhi,89%,10 Patient Stories,₹1200
Dr. Piyush Varshney,"MBBS, MS - General Surgery, MCh - Urology",Urologist,19 years experience overall,"Vasundhra Enclave,",Delhi,88%,41 Patient Stories,₹600
Dr. Arun Antony,"MCh - Urology/Genito-Urinary Surgery, MS - General Surgery, MBBS",Urologist,13 years experience overall,"Vikas Puri,",Delhi,99%,186 Patient Stories,₹1000
Dr. Harbinder Singh,"DNB - Urology/Genito - Urinary Surgery, MBBS, MS - General Surgery",Urologist,18 years experience overall,"Rohini Sector 3,",Delhi,98%,66 Patient Stories,₹800
Dr. Chandrakant Kar,"MCh - Urology, MS - General Surgery, MBBS",Urologist,24 years experience overall,"Dwarka,",Delhi,82%,51 Patient Stories,₹600
Dr. Ankur Arya,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",Urologist,12 years experience overall,"Pusa Road,",Delhi,100%,1 Patient Story,₹1200
Dr. Kumar Saurav,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",Urologist,11 years experience overall,"Model Town 3,",Delhi,100%,5 Patient Stories,₹600
Dr. Aditya Pradhan,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",Urologist,27 years experience overall,"Dwarka Sector 12,",Delhi,72%,19 Patient Stories,₹1500
Dr. Manish Sarkar,"MBBS, DPM (Psychiatry)",Psychiatrist,20 years experience overall,"CR Park,",Delhi,96%,235 Patient Stories,₹1800
Dr. Anuneet Sabharwal,"MBBS, M.D. (Psychiatry)",Psychiatrist,11 years experience overall,"Vivek Vihar,",Delhi,99%,369 Patient Stories,₹1000
Dr. Sumit Kumar Gupta,"MBBS, M.D. (Psychiatry)",Psychiatrist,18 years experience overall,"Pitampura,",Delhi,98%,134 Patient Stories,₹1200
Dr. Gourav Gupta,"MBBS, M.D. (Psychiatry)",Psychiatrist,14 years experience overall,"Rohini Sector 8,",Delhi,98%,46 Patient Stories,₹800
Dr. Paramjeet Singh,"M.D. (Psychiatry), MBBS",Psychiatrist,18 years experience overall,"Karol Bagh,",Delhi,100%,34 Patient Stories,₹1200
Dr. Neelesh Tiwari,"MBBS, M.D. (Psychiatry)",Psychiatrist,21 years experience overall,"Janakpuri,",Delhi,96%,71 Patient Stories,₹2000
Dr. Ankit Gupta,"MBBS, MRCPsych, M.D. (Psychiatry)",Psychiatrist,12 years experience overall,"CR Park,",Delhi,100%,24 Patient Stories,₹1200
Dr. Manish Jain,"MBBS, M.D. (Psychiatry)",Psychiatrist,19 years experience overall,"Pusa Road,",Delhi,98%,82 Patient Stories,₹1800
Dr. Arvind Gautam,"MBBS, DNB - Psychiatry",Psychiatrist,16 years experience overall,"Dwarka Sector 6,",Delhi,98%,33 Patient Stories,₹1500
Dr. L C Sunda,"MBBS, DNB - Psychiatry",Psychiatrist,40 years experience overall,"Paschim Vihar,",Delhi,100%,,₹1800
Dr. Satbir Singh,"MBBS, DNB - General Medicine, DNB - Cardiology",Cardiologist,23 years experience overall,"Pusa Road,",Delhi,98%,99 Patient Stories,₹1300
Dr. Akhilesh Shrivastava,"MBBS, Diploma in Cardiology",Cardiologist,39 years experience overall,"Panchsheel Park,",Delhi,100%,,₹1200
Dr. Vikas Chopra,"MBBS, DM - Cardiology",Cardiologist,26 years experience overall,"Green Park,",Delhi,90%,17 Patient Stories,₹750
Dr. Rajesh Madan,"MBBS, MD - General Medicine, DNB - Cardiology, Fellowship In Interventional  Cardiology",Cardiologist,17 years experience overall,"Dwarka,",Delhi,88%,54 Patient Stories,₹700
Dr. Aseem Dhall,"MBBS, MD - General Medicine, DM - Cardiology",Cardiologist,30 years experience overall,"Vasant Kunj,",Delhi,100%,29 Patient Stories,₹1500
Dr. Ajay Aggarwal,"MBBS, MD - Medicine, DM - Cardiology",Cardiologist,21 years experience overall,"Ashok Vihar,",Delhi,88%,23 Patient Stories,₹800
Dr. Rajeev Kumar Rajput,"MBBS, MD - General Medicine, DM - Cardiology",Cardiologist,34 years experience overall,"New Friends Colony,",Delhi,80%,13 Patient Stories,₹1500
Dr. Nityanand Tripathi,"MBBS, DNB - General Medicine, DM - Cardiology",Cardiologist,30 years experience overall,"Shalimar Bagh,",Delhi,87%,3 Patient Stories,₹1200
Dr. Amit Mittal,"MD - Medicine, DM - Cardiology, MBBS",Cardiologist,23 years experience overall,"Sarita Vihar,",Delhi,99%,71 Patient Stories,₹1500
Dr. S K Gupta,"MBBS, MD - General Medicine, DM - Cardiology, DNB - Cardiology",Cardiologist,39 years experience overall,"Sarita Vihar,",Delhi,100%,6 Patient Stories,₹1200
Thinkyou.In,,,,,,,,
Dr. Anjana Kalia,"BAMS, Fellowship in Applied Nutrition(FAN)",Dietitian/Nutritionist,21 years experience overall,"Dwarka,",Delhi,99%,130 Patient Stories,₹1000
Ms. Shweta,"Diploma in Nutrition and Health Education, Diploma in Diet and Nutrition, Diploma in Diet and Nutrition",Dietitian/Nutritionist,14 years experience overall,"Punjabi Bagh,",Delhi,99%,224 Patient Stories,₹1500
Ms. Priyanka Jaiswal,"MSc - Nutrition and Dietetics, BSc. - Home Science",Dietitian/Nutritionist,11 years experience overall,"Maharani Bagh,",Delhi,95%,116 Patient Stories,₹450
Mr. Himanshu Rai,MSc. - Nutrition Sciences,Dietitian/Nutritionist,15 years experience overall,"Defence Colony,",Delhi,99%,139 Patient Stories,₹800
Ms. Neha Agarwal,M.Sc. - Home Science (Food & Nutrition),Dietitian/Nutritionist,19 years experience overall,"Subhash Nagar,",Delhi,96%,115 Patient Stories,₹500
Ms. Raminder Kaur Deshmukh,Diploma in Dietetics & Public Health Nutrition (DDPHN),Dietitian/Nutritionist,31 years experience overall,"Rajouri Garden,",Delhi,99%,277 Patient Stories,₹3500
Ms. Nidhi Sawhney,PGD in Nutrition and Dietetics,Dietitian/Nutritionist,5 years experience overall,"Gulmohar Park,",Delhi,99%,342 Patient Stories,₹1500
Dr. Sugeeta Mutreja,"BAMS, DNHE",Dietitian/Nutritionist,22 years experience overall,"Dwarka,",Delhi,99%,157 Patient Stories,₹1000
Ms. Dt Priya Mittal,"Diploma in Dietetics, Health and Nutrition (DDHN)",Dietitian/Nutritionist,5 years experience overall,"Greater Kailash Part 1,",Delhi,96%,76 Patient Stories,₹1000
Dr. Pankaj Kumar,"MBBS, DNB - Family Medicine, DNHE",Dietitian/Nutritionist,15 years experience overall,"Janakpuri,",Delhi,96%,120 Patient Stories,₹650
Dr. Manoj Kumar,"MBBS, DM - Gastroenterology, MD - Pediatrics",Gastroenterologist,35 years experience overall,"Saket,",Delhi,50%,32 Patient Stories,₹1000
Dr. Deepak Lahoti,"MBBS, MD - Medicine, DM - Gastroenterology",Gastroenterologist,32 years experience overall,"Patparganj,",Delhi,68%,27 Patient Stories,₹1300
Dr. Rajneesh Gulati,"MBBS, MD - Medicine, DM - Gastroenterology",Gastroenterologist,30 years experience overall,"Vikas Puri,",Delhi,65%,50 Patient Stories,₹1000
Dr. Ashish Sachan,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",Gastroenterologist,11 years experience overall,"Dilshad Garden,",Delhi,100%,62 Patient Stories,₹800
Dr. Ajay Kumar,"MBBS, MD - Medicine, DM - Gastroenterology",Gastroenterologist,35 years experience overall,"Pusa Road,",Delhi,84%,11 Patient Stories,₹1300
Dr. Vishal Garg,"MBBS, MD - Medicine, DM - Gastroenterology",Gastroenterologist,19 years experience overall,"Sarita Vihar,",Delhi,89%,41 Patient Stories,₹1500
Dr. J.C Vij,"MBBS, MD - Medicine, DM - Gastroenterology",Gastroenterologist,52 years experience overall,"Pusa Road,",Delhi,85%,12 Patient Stories,₹1500
Dr. Sanjay Khanna,"MBBS, MD - Medicine, DNB - Gastroenterology",Gastroenterologist,29 years experience overall,"Shalimar Bagh,",Delhi,88%,36 Patient Stories,₹1200
Dr. Sohan Lal Broor,"MBBS, MD - Medicine, DM - Gastroenterology",Gastroenterologist,55 years experience overall,"Sarita Vihar,",Delhi,80%,4 Patient Stories,₹1500
Dr. Sawan Bopanna,"DM - Gastroenterology, MBBS, MD - General Medicine",Gastroenterologist,13 years experience overall,"Janakpuri,",Delhi,96%,13 Patient Stories,₹1300
Dr. Ramandeep S. Dang,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Neurologist,27 years experience overall,"Greater Kailash Part 1,",Delhi,92%,158 Patient Stories,₹1500
Dr. Shailesh Jain,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Neurologist,20 years experience overall,"Pitampura,",Delhi,95%,84 Patient Stories,₹1200
Dr. P. N. Renjen,"FRCP, DM - Neurology, MBBS",Neurologist,47 years experience overall,"Sarita Vihar,",Delhi,94%,163 Patient Stories,₹2000
Dr. Sunilkumar Baranwal,"MCh - Neuro Surgery, MS - General Surgery, MBBS",Neurologist,17 years experience overall,"Pitampura,",Delhi,71%,21 Patient Stories,₹1100
Dr. Anand Kumar Saxena,"MBBS, MD - Medicine, DM - Neurology",Neurologist,33 years experience overall,"Dwarka Sector 19,",Delhi,81%,17 Patient Stories,₹1400
Dr. (Lt Gen) CS Narayanan,"MBBS, MD - Medicine, DM - Neurology",Neurologist,42 years experience overall,"Dwarka Sector 6,",Delhi,91%,141 Patient Stories,₹1100
Dr. Vinit Suri,"MBBS, MD - General Medicine, DM - Neurology",Neurologist,37 years experience overall,"Sarita Vihar,",Delhi,60%,20 Patient Stories,₹2000
Dr. Rajiv Anand,"MBBS, MD - Medicine, DM - Neurology",Neurologist,43 years experience overall,"Pusa Road,",Delhi,71%,38 Patient Stories,₹2000
Dr. Mukul Varma,"MD - Medicine, DM - Neurology, MBBS",Neurologist,38 years experience overall,"Sarita Vihar,",Delhi,80%,5 Patient Stories,₹2000
Dr. Anoop Kohli,"MBBS, MD - Pharmacology and Therapeutics, DM - Neurology",Neurologist,42 years experience overall,"Sarita Vihar,",Delhi,60%,10 Patient Stories,₹1500
Dr. Rahul Jain,"MS - General Surgery, MCh - Neuro Surgery, MBBS",Neurosurgeon,18 years experience overall,"Dwarka Sector 19,",Delhi,91%,12 Patient Stories,₹1000
Dr. Ramandeep S. Dang,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Neurosurgeon,27 years experience overall,"Greater Kailash Part 1,",Delhi,92%,158 Patient Stories,₹1500
Dr. Shailesh Jain,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Neurosurgeon,20 years experience overall,"Pitampura,",Delhi,95%,84 Patient Stories,₹1200
Dr. Vikas Gupta,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Neurosurgeon,35 years experience overall,"Anand Vihar,",Delhi,96%,36 Patient Stories,₹700
Dr. Sunilkumar Baranwal,"MCh - Neuro Surgery, MS - General Surgery, MBBS",Neurosurgeon,17 years experience overall,"Pitampura,",Delhi,71%,21 Patient Stories,₹1100
Dr. Manish Garg,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Neurosurgeon,14 years experience overall,"IP Extension,",Delhi,100%,6 Patient Stories,₹1000
Dr. Amit Gupta,"MCh - Neuro Surgery, MS - General Surgery, MBBS",Neurosurgeon,20 years experience overall,"Rohini,",Delhi,100%,14 Patient Stories,₹1000
Dr. Amitabh Goel,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Neurosurgeon,32 years experience overall,"Patparganj,",Delhi,98%,39 Patient Stories,₹1000
Dr. Sanjeev Dua,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Neurosurgeon,44 years experience overall,"Patparganj,",Delhi,91%,5 Patient Stories,₹1000
Dr. Anil Kansal,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Neurosurgeon,28 years experience overall,"Shalimar Bagh,",Delhi,76%,10 Patient Stories,₹1500
Dr. Kailash Nath Gupta,"MD - Physician, DNB - Respiratory Diseases",Pulmonologist,27 years experience overall,"Dwarka,",Delhi,94%,346 Patient Stories,₹800
Dr. Anuj Gupta,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",Pulmonologist,23 years experience overall,"Munirka,",Delhi,97%,187 Patient Stories,₹1250
Dr. Pawan Gupta,"MBBS, MD - Tuberculosis and Chest Diseases, DM - Pulmonary Medicine",Pulmonologist,19 years experience overall,"Prashant Vihar,",Delhi,91%,14 Patient Stories,₹700
Dr. Santosh Jha,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Respiratory Diseases",Pulmonologist,11 years experience overall,"Malviya Nagar,",Delhi,99%,169 Patient Stories,₹1000
Dr. Raj Kumar,"MD - Tuberculosis and Chest Diseases, MBBS",Pulmonologist,21 years experience overall,"Vasant Kunj,",Delhi,93%,28 Patient Stories,₹1000
Dr. Rajesh K Chawla,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",Pulmonologist,41 years experience overall,"Sarita Vihar,",Delhi,80%,2 Patient Stories,₹2000
Dr. Viny Kantroo,"MBBS, DNB - Respiratory Diseases",Pulmonologist,12 years experience overall,"Sarita Vihar,",Delhi,80%,4 Patient Stories,₹1500
Dr. Deepak Rosha,"MBBS, MD - Medicine, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",Pulmonologist,30 years experience overall,"Sarita Vihar,",Delhi,50%,5 Patient Stories,₹1500
Dr. Nikhil Modi,"MBBS, MD - Pulmonary Medicine",Pulmonologist,12 years experience overall,"Sarita Vihar,",Delhi,83%,6 Patient Stories,₹1500
